16:44:25.039244 config: drop-rate=0.2, max-delay=10s, seed=1 router is listening at :3000
16:45:29.756412 config: drop-rate=0.00, max-delay=0s, seed=1542836729756412700
16:45:29.756412 router is listening at :3000
16:47:07.876831 config: drop-rate=0.20, max-delay=10ms, seed=1
16:47:07.876831 router is listening at :3000
16:57:47.631022 [queue=1] packet #0, 127.0.0.1:59177 -> 127.0.0.1:8007, sz=24 is delayed for 8.7ms
16:57:47.636022 [queue=2] packet #1, 127.0.0.1:59177 -> 127.0.0.1:8007, sz=4 is delayed for 5.9ms
16:57:47.640022 [queue=1] packet #0, 127.0.0.1:59177 -> 127.0.0.1:8007, sz=24 is delivered
16:57:47.641022 [queue=2] packet #1, 127.0.0.1:59177 -> 127.0.0.1:8007, sz=4 is delayed for 1.8ms
16:57:47.642022 [queue=1] packet #1, 127.0.0.1:59177 -> 127.0.0.1:8007, sz=4 is delivered
16:57:47.643022 [queue=0] packet #1, 127.0.0.1:59177 -> 127.0.0.1:8007, sz=4 is delivered
16:57:47.646023 [queue=0] packet #2, 127.0.0.1:59177 -> 127.0.0.1:8007, sz=4 is dropped
16:57:47.651023 [queue=0] packet #2, 127.0.0.1:59177 -> 127.0.0.1:8007, sz=4 is dropped
16:57:47.654023 [queue=0] packet #0, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is dropped
16:57:47.656023 [queue=1] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 9.4ms
16:57:47.657023 [queue=2] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 6.2ms
16:57:47.657023 [queue=3] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 2.8ms
16:57:47.657023 [queue=4] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 1.1ms
16:57:47.657023 [queue=5] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 3.7ms
16:57:47.657023 [queue=6] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 9.5ms
16:57:47.658023 [queue=7] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 2.8ms
16:57:47.659023 [queue=6] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.661024 [queue=5] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.663024 [queue=5] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 4.7ms
16:57:47.663024 [queue=5] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.666024 [queue=3] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.666024 [queue=3] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.668024 [queue=1] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.669024 [queue=1] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.689025 [queue=2] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 8.7ms
16:57:47.693025 [queue=1] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.733028 [queue=2] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 9ms
16:57:47.742028 [queue=1] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.749029 [queue=2] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 4.1ms
16:57:47.757029 [queue=1] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.757029 [queue=1] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is dropped
16:57:47.762029 [queue=0] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.777030 [queue=0] packet #3, 127.0.0.1:59177 -> 127.0.0.1:8007, sz=4 is dropped
16:57:47.786031 [queue=1] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 2.9ms
16:57:47.791031 [queue=1] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is dropped
16:57:47.794031 [queue=0] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.808032 [queue=1] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 3.1ms
16:57:47.818033 [queue=2] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 2.6ms
16:57:47.821033 [queue=1] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.839034 [queue=1] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is dropped
16:57:47.842034 [queue=0] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.846034 [queue=1] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 9.4ms
16:57:47.856035 [queue=2] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 3.3ms
16:57:47.865035 [queue=1] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.874036 [queue=2] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 7.8ms
16:57:47.878036 [queue=2] packet #4294967295, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 5.9ms
16:57:47.878036 [queue=1] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.885036 [queue=3] packet #3, 127.0.0.1:59177 -> 127.0.0.1:8007, sz=4 is delayed for 5.7ms
16:57:47.886036 [queue=2] packet #1, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.891037 [queue=1] packet #4294967295, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delivered
16:57:47.895037 [queue=0] packet #3, 127.0.0.1:59177 -> 127.0.0.1:8007, sz=4 is delivered
16:57:47.896037 [queue=1] packet #4294967295, 127.0.0.1:51100 -> 127.0.0.1:8000, sz=4 is delayed for 8.9ms
